08/20/2025 06:58:43 P,CHAR LENGHT,ID,VISIBILITY,"DATE 
ADDED",SKU,NAME,ADDITIONAL NOTES,APPLICATION NOTES,PART NUMBER,PRODUCT CATEGORY,TYPE,(OLD UPC),GTIN,YEAR,PRIMARY OEM,"Additional 
OEM#",Catalog Group,MANUFACTURER,MAKE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,Condition,IS REMAN?,ASSOCIATED CORE,CORE TYPE,JUMPFLY CATEGORY,VENDOR,VENDOR PART NUMBER,NEW QB,QB ACCOUNT,WARRANTY, PRICE , Drive On Diesel Price , VENDOR COST , ACTUAL COST , EST COST ,PROFIT,PROFIT  %,WEIGHT,"CHARGE CORE
UPFRONT",HAS CORE, CORE PRICE ,"GROUP 
NUMBER",ADF,PRICE,Non Stocking Distributor, PRICE ,Stocking Distributor, PRICE ,Non Stocking WD, PRICE ,Stocking WD, PRICE ,10%, PRICE ,15%, PRICE 
,,6107,Both,7/22/2022,HPP7310,"Cummins QSB 6.7L, 4.5L High Pressure Fuel Pump : OEM 5256607RX",,"Hyundai 760, JCB Fastrac 3230, Case 865, Komatsu SAA6D107, SAA4D107, SAAD107E-1",HPP7310,Fuel Pumps,High Pressure Fuel Pump,086547494441,00840490509795,,5256607RX,"0445020122, 0986437310, 0445020043, 4988593, 6754711012",C2,Tamerx Diesel Products,Cummins,QSB 6.7L,4.5L,,,,,,,Yes,"HPP7310#C, HPP7310-C30",In House Core,High Pressure Fuel Pumps,Tamerx,,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,420.00 "," $ 1,420.00 ",, $ 350.00 , $ 350.00 ,"$1,070.00",75.35%,18,NO,YES, $ 500.00 ,,FIXED PRICE,$766.50,0%," $ 1,420.00 ",20.00%," $ 1,136.00 ",20.00%," $ 1,136.00 ",25.00%," $ 1,065.00 ",10.00%," $ 1,278.00 ",15.00%," $ 1,207.00 "
07/31/2024 10:18:34 P,,6110,Both,7/22/2022,HPP7374,"Mercedes OM642, 3.0L High Pressure Fuel Pump 2010-2020: OEM 6420701301","GLS350, ML350, S350, Sprinter",,HPP7374,Fuel Pumps,High Pressure Fuel Pump,086547494465,00840490509801,2010-2020,6420701301,"09864377374, 0445010322",,Tamerx Diesel Products,Mercedes,OM642,3.0L,,,,,,,Yes,"HPP7374#C, HPP7374-C30",In House Core,High Pressure Fuel Pumps,Tamerx,,Diesel Pumps,Diesel Pumps,One Million Miles or One Year, $ 895.00 , $ 895.00 ,, $ 350.00 , $ 350.00 ,$545.00,60.89%,12,NO,YES, $ 250.00 ,,FIXED PRICE,$416.50,0%, $ 895.00 ,20.00%, $ 716.00 ,20.00%, $ 716.00 ,25.00%, $ 671.25 ,10.00%, $ 805.50 ,15.00%, $ 760.75 
03/21/2023 09:52:06 P,,6221,Both,8/19/2022,HPP7512,"Case IH / New Holland 13.0L, T9, Iveco High Pressure Fuel Pump : OEM 5802805240","Case IH STX Steiger 600, CR8.90, CR9.90 New Holand T9, Astra HD9, 7240, 8240, 9240",,HPP7512,Fuel Pumps,High Pressure Fuel Pump,086547495974,00840490510418,,"5802805240, 504388756","5801486599, 0986437512, 504388756, 0445020160, 0445020195, 0445020292",,Tamerx Diesel Products,Case IH / New Holland,13.0L,T9,Iveco,,,,,,Yes,"HPP7512#C, HPP7512-C30",In House Core,High Pressure Fuel Pumps,Tamerx,HPP7512,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 3,035.00 "," $ 3,035.00 ",," $ 2,200.00 "," $ 2,200.00 ",$835.00,27.51%,32,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$2,715.75",0%," $ 3,035.00 ",20.00%," $ 2,428.00 ",15.00%," $ 2,579.75 ",25.00%," $ 2,276.25 ",10.00%," $ 2,731.50 ",15.00%," $ 2,579.75 "
,,6224,Both,8/19/2022,HPP7512ELE,"Case IH / New Holland 13.0L, T9, Iveco High Pressure Fuel Pump : OEM 5802805240","Pumping Element for HP Pump Case IH STX Steiger 600, CR8.90, CR9.90 New Holand T9, Astra HD9, 7240, 8240, 9240",,HPP7512ELE,Fuel Pumps,High Pressure Fuel Pump,086547495981,00840490510425,,"5802805240, 5801486599R","5801486599, 0986437512, 504388756, 0445020160, 0445020195, 0445020292",,Tamerx Diesel Products,Case IH / New Holland,13.0L,T9,Iveco,,,,,,Yes,"HPP7512ELE#C, HPP7512ELE-C30",In House Core,High Pressure Fuel Pumps,Tamerx,5010750ELE,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,420.00 "," $ 1,420.00 ",, $ 600.00 , $ 600.00 ,$820.00,57.75%,8,NO,YES, $ 300.00 ,,FIXED PRICE,"$1,270.75",0%," $ 1,420.00 ",20.00%," $ 1,136.00 ",15.00%," $ 1,207.00 ",25.00%," $ 1,065.00 ",10.00%," $ 1,278.00 ",15.00%," $ 1,207.00 "
12/01/2023 06:17:49 P,,6227,Both,8/19/2022,04450200324ELE,MTU High Pressure Fuel Pump : OEM 57507300066,Pumping Element for HP Pump,,04450200324ELE,Fuel Pumps,High Pressure Fuel Pump,086547495998,00840490510432,,57507300066,57507300066,,Tamerx Diesel Products,MTU,,,,,,,,,Yes,"04450200324ELE#C, 04450200324ELE-C30",In House Core,High Pressure Fuel Pumps,Tamerx,5010750ELE,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,420.00 "," $ 1,420.00 ",, $ 600.00 , $ 600.00 ,$820.00,57.75%,8,NO,YES, $ 300.00 ,,FIXED PRICE,"$1,046.50",0%," $ 1,420.00 ",20.00%," $ 1,136.00 ",15.00%," $ 1,207.00 ",25.00%," $ 1,065.00 ",10.00%," $ 1,278.00 ",15.00%," $ 1,207.00 "
,,6268,Both,9/10/2022,0445020516RM,"Case IH / New Holland 3.2L, 3.4L High Pressure Fuel Pump 2011-2017: OEM 5801470100","Case Newlland, SR220 lOADER, SR250 LOADER, SV300 LOADER, TR320 LOADER, TV380 LOADER, Caterpillar 311F, C4.4, C3.4",,0445020516RM,Fuel Pumps,High Pressure Fuel Pump,086547496216,00840490510630,2011-2017,5801470100,"5801470100, 0445020508, 0445020516, 0 445 020 516, 390-3122",,Tamerx Diesel Products,Case IH / New Holland,3.2L,3.4L,,,,,,,Yes,"0445020516RM#C, 0445020516RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,445020508,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,230.00 "," $ 1,230.00 ",, $ 600.00 , $ 600.00 ,$630.00,51.22%,12,NO,YES, $ 500.00 ,,FIXED PRICE,$906.50,0%," $ 1,230.00 ",20.00%, $ 984.00 ,20.00%, $ 984.00 ,25.00%, $ 922.50 ,10.00%," $ 1,107.00 ",15.00%," $ 1,045.50 "
09/06/2023 06:30:09 P,,6271,Both,9/10/2022,0445020517RM,Cummins High Pressure Fuel Pump : OEM 5303387RX,,,0445020517RM,Fuel Pumps,High Pressure Fuel Pump,086547496230,00840490510647,,5303387RX,"0 445 020 517, 0445020517, 5303387",,Tamerx Diesel Products,Cummins,,,,,,,,,Yes,"0445020517RM#C, 0445020517RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,445020517,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,230.00 "," $ 1,230.00 ",, $ 600.00 , $ 600.00 ,$630.00,51.22%,12,NO,YES, $ 500.00 ,,FIXED PRICE,$906.50,0%," $ 1,230.00 ",20.00%, $ 984.00 ,20.00%, $ 984.00 ,25.00%, $ 922.50 ,10.00%," $ 1,107.00 ",15.00%," $ 1,045.50 "
05/05/2025 07:08:15 P,,6274,Both,9/10/2022,0445020538RM,"John Deere Yanmar, 3TNV86CT, 3TNV88C, 4TNV86CT High Pressure Fuel Pump 2012-2018: OEM MIA885077",,"Doosan, John Deere, Thermo King, Mustang, GEHL, Manitou, TYM, Takeuchi, Wacker Neuson, Volvo",0445020538RM,Fuel Pumps,High Pressure Fuel Pump,086547496247,00840490510654,2012-2018,MIA885077,"0445020509, 129A00-51000, 129C28-51000, 129C851000, Y129A00-51000. 0445020538, MIA881999, MIA885077",,Tamerx Diesel Products,Yanmar,3TNV86CT,3TNV88C,4TNV86CT,,,,,,Yes,"0445020538RM#C, 0445020538RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,445020538,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,495.00 "," $ 1,495.00 ",," $ 1,298.00 "," $ 1,298.00 ",$197.00,13.18%,12,NO,YES, $ 850.00 ,,FIXED PRICE,$906.50,0%," $ 1,495.00 ",20.00%," $ 1,196.00 ",15.00%," $ 1,270.75 ",25.00%," $ 1,121.25 ",10.00%," $ 1,345.50 ",15.00%," $ 1,270.75 "
07/18/2024 09:06:14 P,,6280,Both,9/10/2022,0445020026RM,Volvo Industrial High Pressure Fuel Pump : OEM 3803633,,,0445020026RM,Fuel Pumps,High Pressure Fuel Pump,086547496261,00840490510678,,3803633,"0 445 020 026, 3583494, 3803633, 889635",,Tamerx Diesel Products,Volvo Industrial,,,,,,,,,Yes,"0445020026RM#C, 0445020026RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,0 44 020 026,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,895.00 "," $ 1,895.00 "," $ 1,040.00 "," $ 1,040.00 ", $ 350.00 ,$855.00,45.12%,18,NO,YES, $ 450.00 ,,FIXED PRICE,$766.50,0%," $ 1,895.00 ",20.00%," $ 1,516.00 ",15.00%," $ 1,610.75 ",25.00%," $ 1,421.25 ",10.00%," $ 1,705.50 ",15.00%," $ 1,610.75 "
,,6849,Both,12/14/2022,2940500029RM,"Isuzu 6HK1, 7.8L High Pressure Fuel Pump 2004-2007: OEM 90123049",,"Chevrolet, GMC C7500, C8500 7.8L Duramax",2940500029RM,Fuel Pumps,High Pressure Fuel Pump,86547498753,00840490512696,2004-2007,90123049,"8976020494, 8976020498, 8976020499",,Tamerx Diesel Products,Isuzu,6HK1,7.8L,,,,,,,Yes,"2940500029RM#C, 2940500029RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,29405-00029,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,420.00 "," $ 1,420.00 ", $ 650.00 ,, $ 747.50 ,"$1,420.00",100.00%,18,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,207.00",0%," $ 1,420.00 ",20.00%," $ 1,136.00 ",15.00%," $ 1,207.00 ",25.00%," $ 1,065.00 ",10.00%," $ 1,278.00 ",15.00%," $ 1,207.00 "
04/19/2024 10:58:37 P,,7428,Both,1/9/2023,5594422RM,Cummins ISL High Pressure Fuel Pump 2019-2022: OEM 5594422RX,,,5594422RM,Fuel Pumps,High Pressure Fuel Pump,86547502030,00840490515185,2019-2022,5594422RX,,C3,Tamerx Diesel Products,Cummins,ISL,,,,,,,,Yes,"5594422RM#C, 5594422RM-C30",Vendor R & R,High Pressure Fuel Pumps,Tamerx,5594422,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 4,270.00 "," $ 4,270.00 "," $ 1,200.00 "," $ 1,200.00 "," $ 1,200.00 ","$3,070.00",71.90%,32,YES,YES," $ 1,200.00 ",,FIXED PRICE,"$3,596.00",0%," $ 4,270.00 ",20.00%," $ 3,416.00 ",20.00%," $ 3,416.00 ",25.00%," $ 3,202.50 ",10.00%," $ 3,843.00 ",15.00%," $ 3,629.50 "
11/04/2024 08:41:33 A,,7504,Both,1/30/2023,5594422RM-1,Cummins L9 High Pressure Fuel Pump 2019-2021: OEM 5594422RX,,,5594422RM-1,Fuel Pumps,High Pressure Fuel Pump,86547501446,00840490515451,2019-2021,5594422RX,"5491997, 5594422",C3,Tamerx Diesel Products,Cummins,L9,,,,,,,,Yes,"5594422RM-1#C, 5594422RM-1-C30",In House Core,High Pressure Fuel Pumps,Tamerx,HPP4209,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 4,270.00 "," $ 4,270.00 "," $ 1,800.00 "," $ 1,800.00 "," $ 1,800.00 ","$2,470.00",57.85%,25,NO,YES, $ 900.00 ,,FIXED PRICE,"$3,202.50",0%," $ 4,270.00 ",20.00%," $ 3,416.00 ",15.00%," $ 3,629.50 ",25.00%," $ 3,202.50 ",10.00%," $ 3,843.00 ",15.00%," $ 3,629.50 "
,,7668,Both,3/21/2023,8980879862RM,Isuzu 4JJ1 High Pressure Fuel Pump 2011-2016: OEM 8980879863,,,8980879862RM,Fuel Pumps,High Pressure Fuel Pump,,00840490515956,2011-2016,8980879863,"8980879861, 8980879862, 0 445 010 835, 0 445 010 628",,Tamerx Diesel Products,Isuzu,4JJ1,,,,,,,,Yes,"8980879862RM#C, 8980879862RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,0 445 010628,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,515.00 "," $ 1,515.00 "," $ 1,150.00 "," $ 1,150.00 "," $ 1,150.00 ",$365.00,24.09%,12,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,136.25",0%," $ 1,515.00 ",20.00%," $ 1,212.00 ",20.00%," $ 1,212.00 ",25.00%," $ 1,136.25 ",10.00%," $ 1,363.50 ",15.00%," $ 1,287.75 "
02/27/2024 09:22:52 P,,8428,Both,7/14/2023,4954907RM,Cummins QSC 8.3L High Pressure Fuel Pump 2010-2014: OEM 4954907RX,,,4954907RM,Fuel Pumps,High Pressure Fuel Pump,,00840490518902,2010-2014,4954907RX,,,Tamerx Diesel Products,Cummins,QSC 8.3L,,,,,,,,Yes,"4954907RM#C, 4954907RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,HPP4200,Diesel Pumps,Diesel Pumps,," $ 3,450.00 "," $ 3,450.00 ", $ 750.00 , $ 750.00 , $ 750.00 ,"$2,700.00",78.26%,27,NO,YES, $ 500.00 ,,FIXED PRICE,"$2,587.50",0%," $ 3,450.00 ",20.00%," $ 2,760.00 ",15.00%," $ 2,932.50 ",25.00%," $ 2,587.50 ",10.00%," $ 3,105.00 ",15.00%," $ 2,932.50 "
,,8724,Both,8/30/2023,5801633945RM,Case IH / New Holland Iveco 6.7L High Pressure Fuel Pump 2014-2017: OEM 5801633945,,"Puma 140, 155, 170, 185",5801633945RM,Fuel Pumps,High Pressure Fuel Pump,,00840490519879,2014-2017,5801633945,"0445020223, 47582622, 47669601",,Tamerx Diesel Products,Case IH / New Holland,Iveco 6.7L,,,,,,,Remanufactured,Yes,"5801633945RM#C, 5801633945RM-C30",Vendor R & R,High Pressure Fuel Pumps,Tamerx,445020223,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,515.00 "," $ 1,515.00 "," $ 1,150.00 "," $ 1,150.00 "," $ 1,150.00 ",$365.00,24.09%,24,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,136.25",0%," $ 1,515.00 ",20.00%," $ 1,212.00 ",20.00%," $ 1,212.00 ",25.00%," $ 1,136.25 ",10.00%," $ 1,363.50 ",15.00%," $ 1,287.75 "
,,8971,Both,12/6/2023,5461602RM,Cummins L9 High Pressure Fuel Pump 2021-2024: OEM 5461602RX,,,5461602RM,Fuel Pumps,High Pressure Fuel Pump,,00840490520714,2021-2024,5461602RX,,C3,Tamerx Diesel Products,Cummins,L9,,,,,,,Remanufactured,Yes,"5461602RM#C, 5461602RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,5461602,,,One Million Miles or One Year," $ 6,700.00 "," $ 6,700.00 "," $ 2,200.00 "," $ 2,200.00 "," $ 2,200.00 ","$4,500.00",67.16%,38,NO,YES," $ 1,200.00 ",,FIXED PRICE,"$5,025.00",0%," $ 6,700.00 ",20.00%," $ 5,360.00 ",15.00%," $ 5,695.00 ",25.00%," $ 5,025.00 ",10.00%," $ 6,030.00 ",15.00%," $ 5,695.00 "
09/01/2025 01:24:19 A,,8990,Both,12/11/2023,7386496RM,"Bobcat / Doosan D18 DM01, D24 DM02 High Pressure Fuel Pump 2020-2024: OEM 7386496",,Bobcat,7386496RM,Fuel Pumps,High Pressure Fuel Pump,,00840490520776,2020-2024,7386496,,BD4,Tamerx Diesel Products,Bobcat / Doosan,D18 DM01,D24 DM02,,,,,,Remanufactured,Yes,"7386496RM#C, 7386496RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,0 445 020 541,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,595.00 "," $ 1,595.00 "," $ 1,100.00 "," $ 1,100.00 "," $ 1,100.00 ",$495.00,31.03%,12,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,196.25",0%," $ 1,595.00 ",20.00%," $ 1,276.00 ",20.00%," $ 1,276.00 ",25.00%," $ 1,196.25 ",10.00%," $ 1,435.50 ",15.00%," $ 1,355.75 "
03/19/2025 06:31:56 P,,9002,Both,12/11/2023,0445020152RM,"Bobcat / Doosan DL06P, DL08P High Pressure Fuel Pump 2017-2023: OEM 400912-00030A",,,0445020152RM,Fuel Pumps,High Pressure Fuel Pump,,00840490520813,2017-2023,400912-00030A,,,Tamerx Diesel Products,Bobcat / Doosan,DL06P,DL08P,,,,,,Remanufactured,Yes,"0445020152RM#C, 0445020152RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,445020152,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,595.00 "," $ 1,595.00 "," $ 1,200.00 "," $ 1,200.00 "," $ 1,200.00 ",$395.00,24.76%,18,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,196.25",0%," $ 1,595.00 ",20.00%," $ 1,276.00 ",15.00%," $ 1,355.75 ",25.00%," $ 1,196.25 ",10.00%," $ 1,435.50 ",15.00%," $ 1,355.75 "
,,9260,Both,2/13/2024,5491785RM,Cummins X15 High Pressure Fuel Pump 2022-2024: OEM 5491785RX,,,5491785RM,Fuel Pumps,High Pressure Fuel Pump,,00840490521735,2022-2024,5491785RX,"4306999, 5491785PX, 2872560",C1,Tamerx Diesel Products,Cummins,X15,,,,,,,Remanufactured,Yes,"5491785RM#C, 5491785RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,5491785RM,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 4,495.00 "," $ 4,495.00 "," $ 2,700.00 "," $ 2,700.00 "," $ 2,700.00 ","$1,795.00",39.93%,58,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$3,371.25",0%," $ 4,495.00 ",20.00%," $ 3,596.00 ",15.00%," $ 3,820.75 ",25.00%," $ 3,371.25 ",10.00%," $ 4,045.50 ",15.00%," $ 3,820.75 "
,,9290,Both,2/15/2024,REC435948900RM,John Deere QSX15 High Pressure Fuel Pump : OEM REC435948900,,"9420RX, 9470RX, 9520RX",REC435948900RM,Fuel Pumps,High Pressure Fuel Pump,,00840490521834,,REC435948900,DZ124926,,Tamerx Diesel Products,John Deere,QSX15,,,,,,,Remanufactured,Yes,"REC435948900RM#C, REC435948900RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,4359489RM,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 6,495.00 "," $ 6,495.00 "," $ 1,600.00 "," $ 1,600.00 "," $ 1,600.00 ","$4,895.00",75.37%,58,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$4,871.25",0%," $ 6,495.00 ",20.00%," $ 5,196.00 ",15.00%," $ 5,520.75 ",25.00%," $ 4,871.25 ",10.00%," $ 5,845.50 ",15.00%," $ 5,520.75 "
01/04/2025 02:10:18 A,,9296,Both,2/15/2024,REC549178400RM,"John Deere QSX15, X15 High Pressure Fuel Pump : OEM REC549178400",,"9570RX, 9620RX",REC549178400RM,Fuel Pumps,High Pressure Fuel Pump,,00840490521858,,REC549178400,,,Tamerx Diesel Products,John Deere,QSX15,X15,,,,,,Remanufactured,Yes,"REC549178400RM#C, REC549178400RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,5491784,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 6,495.00 "," $ 6,495.00 "," $ 1,600.00 "," $ 1,600.00 "," $ 1,600.00 ","$4,895.00",75.37%,58,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$4,871.25",0%," $ 6,495.00 ",20.00%," $ 5,196.00 ",15.00%," $ 5,520.75 ",25.00%," $ 4,871.25 ",10.00%," $ 5,845.50 ",15.00%," $ 5,520.75 "
02/06/2025 03:38:13 A,,10176,Both,2/22/2024,5284887RM,"Cummins ISB, QSB3.3 High Pressure Fuel Pump : OEM 5284887",,,5284887RM,Fuel Pumps,High Pressure Fuel Pump,,00840490524811,,5284887,5670391,,Tamerx Diesel Products,Cummins,ISB,QSB3.3,,,,,,Remanufactured,Yes,"5284887RM#C, 5284887RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,5284887,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 2,750.00 "," $ 2,750.00 "," $ 1,595.00 "," $ 1,595.00 "," $ 1,595.00 ","$1,155.00",42.00%,6,NO,YES, $ 750.00 ,,FIXED PRICE,"$2,062.50",0%," $ 2,750.00 ",20.00%," $ 2,200.00 ",15.00%," $ 2,337.50 ",25.00%," $ 2,062.50 ",10.00%," $ 2,475.00 ",15.00%," $ 2,337.50 "
,,10191,Both,2/22/2024,5619767RM,Cummins 4.5L High Pressure Fuel Pump : OEM 5619767,,,5619767RM,Fuel Pumps,High Pressure Fuel Pump,,00840490524866,,5619767,294000-3100,,Tamerx Diesel Products,Cummins,4.5L,,,,,,,Remanufactured,Yes,"5619767RM#C, 5619767RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,5619767,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,895.00 "," $ 1,895.00 "," $ 1,200.00 "," $ 1,200.00 "," $ 1,200.00 ",$695.00,36.68%,22,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,421.25",0%," $ 1,895.00 ",20.00%," $ 1,516.00 ",15.00%," $ 1,610.75 ",25.00%," $ 1,421.25 ",10.00%," $ 1,705.50 ",15.00%," $ 1,610.75 "
10/08/2024 04:10:53 A,,10904,Both,3/7/2024,5594421RM,"Cummins ISL, QSL High Pressure Fuel Pump 2021-2024: OEM 5594421RX",,,5594421RM,Fuel Pumps,High Pressure Fuel Pump,,00840490527270,2021-2024,5594421RX,,C3,Tamerx Diesel Products,Cummins,ISL,QSL,,,,,,Remanufactured,Yes,"5594421RM#C, 5594421RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,5594422,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 6,750.00 "," $ 6,750.00 "," $ 2,200.00 "," $ 2,200.00 "," $ 2,200.00 ","$4,550.00",67.41%,38,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$5,062.50",0%," $ 6,750.00 ",20.00%," $ 5,400.00 ",15.00%," $ 5,737.50 ",25.00%," $ 5,062.50 ",10.00%," $ 6,075.00 ",15.00%," $ 5,737.50 "
09/28/2024 07:57:53 P,,11042,Both,4/23/2024,4359490RM,Cummins ISX12 High Pressure Fuel Pump 2015-2017: OEM 4359490RX,,,4359490RM,Fuel Pumps,High Pressure Fuel Pump,,00840490527720,2015-2017,4359490RX,4307511,C1,Tamerx Diesel Products,Cummins,ISX12,,,,,,,Remanufactured,Yes,"4359490RM#C, 4359490RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,4359490,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 4,295.00 "," $ 4,295.00 "," $ 2,750.00 "," $ 2,750.00 "," $ 2,750.00 ","$1,545.00",35.97%,48,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$3,221.25",0%," $ 4,295.00 ",20.00%," $ 3,436.00 ",15.00%," $ 3,650.75 ",25.00%," $ 3,221.25 ",10.00%," $ 3,865.50 ",15.00%," $ 3,650.75 "
,,11413,Both,6/3/2024,5622801RM,Dodge Ram Cummins 6.7L High Pressure Fuel Pump 2019-2024: OEM 68533241AA,,,5622801RM,Fuel Pumps,High Pressure Fuel Pump,,00840490528963,2019-2024,68533241AA,"5622801, 0445020377, 5622803RX",,Tamerx Diesel Products,Dodge Ram,Cummins 6.7L,,,,,,,Remanufactured,Yes,"5622801RM#C, 5622801RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,0 445 020 377,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,595.00 "," $ 1,595.00 ", $ 650.00 , $ 650.00 , $ 650.00 ,$945.00,59.25%,18,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,196.25",0%," $ 1,595.00 ",20.00%," $ 1,276.00 ",15.00%," $ 1,355.75 ",25.00%," $ 1,196.25 ",10.00%," $ 1,435.50 ",15.00%," $ 1,355.75 "
07/10/2025 12:13:12 A,,12061,Both,8/28/2024,2094118RM,"Scania DC13, DC09 High Pressure Fuel Pump 2011-2018: OEM 2094118SCA",,,2094118RM,Fuel Pumps,High Pressure Fuel Pump,,00840490531222,2011-2018,2094118SCA,"572710, 2094118, 2059882, 1947370, 2007109",,Tamerx Diesel Products,Scania,DC13,DC09,,,,,,Remanufactured,Yes,"2094118RM#C, 2094118RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,4384497,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 6,895.00 "," $ 6,895.00 "," $ 2,200.00 "," $ 2,200.00 "," $ 2,200.00 ","$4,695.00",68.09%,55,NO,YES," $ 1,200.00 ",,FIXED PRICE,"$5,171.25",0%," $ 6,895.00 ",20.00%," $ 5,516.00 ",0%," $ 6,895.00 ",25.00%," $ 5,171.25 ",10.00%," $ 6,205.50 ",15.00%," $ 5,860.75 "
07/10/2025 12:13:27 A,,12064,Both,8/28/2024,2094118SCA,"Scania DC13, DC09 High Pressure Fuel Pump 2011-2018: OEM 2094118SCA",,,2094118SCA,Fuel Pumps,High Pressure Fuel Pump,,00840490531239,2011-2018,2094118SCA,"572710, 2094118, 2059882, 1947370, 2007109",,Scania,Scania,DC13,DC09,,,,,,Genuine New,Yes,"2094118SCA#C, 2094118SCA-C30",In House Core,High Pressure Fuel Pumps,Tamerx,4384497,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 7,895.00 "," $ 7,895.00 "," $ 2,200.00 "," $ 2,200.00 "," $ 2,200.00 ","$5,695.00",72.13%,55,NO,YES," $ 1,200.00 ",,FIXED PRICE,"$5,921.25",0%," $ 7,895.00 ",20.00%," $ 6,316.00 ",0%," $ 7,895.00 ",25.00%," $ 5,921.25 ",10.00%," $ 7,105.50 ",15.00%," $ 6,710.75 "
,,12761,Both,12/27/2024,9340702001RM,Detroit DD5 High Pressure Fuel Pump 2018-2027: OEM EA9340702001,DFP5 Pump,,9340702001RM,Fuel Pumps,High Pressure Fuel Pump,,00840490533707,2018-2027,EA9340702001,"A9340702001, A9340701901, RA9340702001, RA9340701901, EA9340702001, DDE EA9340702001",D4,Tamerx Diesel Products,Detroit,DD5,,,,,,,Remanufactured,Yes,"9340702001RM#C, 9340702001RM-C30",In House Core,High Pressure Fuel Pumps,Tamerx,9340702001,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,995.00 "," $ 1,995.00 "," $ 1,050.00 "," $ 1,050.00 "," $ 1,050.00 ",$945.00,47.37%,36,NO,YES, $ 500.00 ,,,,0%," $ 1,995.00 ",20.00%," $ 1,596.00 ",0%," $ 1,995.00 ",25.00%," $ 1,496.25 ",10.00%," $ 1,795.50 ",15.00%," $ 1,695.75 "
